,Unnamed: 0,Type,ComplexID,ID,Name,Street,District,Date,Discount,URL,FullName,Rooms,MaxTotalArea,MaxPPSM,MaxTotalPrice,MinTotalArea,MinPPSM,MinTotalPrice,TotalArea,TotalPrice,PPSM,Location
0,125,car,104,107,"Червонозоряний пр-т, 6-Є","Червонозоряний пр-т, 4-А, №2-3-5",Солом'янський р-н,введений,-30%,https://kmb.ua/objects/134-prosp-chervonozoryanij-6-e/,"Червонозоряний пр-т, 6-Є Червонозоряний пр-т, 4-А, №2-3-5",,,,9999999.0,,,194000.0,,0.19-10.0 млн. грн.,,"50.4233545, 30.4613811"
1,126,car,104,108,"Червонозоряний пр-т, 4-Є","Червонозоряний пр-т, 4-А, №4",Солом'янський р-н,введений,-30%,https://kmb.ua/objects/133-prosp-chervonozoryanij-4-e/,"Червонозоряний пр-т, 4-Є Червонозоряний пр-т, 4-А, №4",,,,9999999.0,,,142500.0,,0.14-10.0 млн. грн.,,"50.4233545, 30.4613811"
2,132,car,107,111,"вул. Володі Дубініна, 2 (літ. А)",,Голосіївський р-н,12.2019,,,"вул. Володі Дубініна, 2 (літ. А) ",,,,9999999.0,,,217500.0,,0.22-10.0 млн. грн.,,"50.3906872, 30.494419"
3,156,noflat,202,204,,"вул. Горлівська, 215",Дарницький р-н,,0%,https://kmb.ua/objects/5-zhk-vul-gorlivska-215-a-b-v/?type=2," вул. Горлівська, 215",нежитлове приміщення,53.06,21230.0,1126464.0,53.06,21230.0,1126464.0,53.06-53.06 кв м.,1.13-1.13 млн. грн.,,"50.40580869999999, 30.6735145"
4,157,noflat,202,205,,"вул. Горлівська, 215",Дарницький р-н,,0%,https://kmb.ua/objects/5-zhk-vul-gorlivska-215-a-b-v/?type=2," вул. Горлівська, 215",приміщення для зберігання велосипедів,14.9,,48749.0,3.11,14891.0,48749.0,3.11-14.9 кв м.,0.05-0.05 млн. грн.,,"50.40580869999999, 30.6735145"
5,158,noflat,203,206,,"вул. Харківське шосе, 58-б ( Горлівська, 38/40)",Дарницький р-н,,0%,https://kmb.ua/objects/337-kharkivske-shose-58-b/," вул. Харківське шосе, 58-б ( Горлівська, 38/40)",Нежитлові приміщення,45.8,25000.0,1145000.0,45.8,25000.0,1145000.0,45.8-45.8 кв м.,1.14-1.14 млн. грн.,,"50.4230185, 30.6462273"
6,160,noflat,205,208,,"вул. Мишуги, 10",Дарницький р-н,,20%,https://kmb.ua/objects/106-tts-vul-mishugi-10/," вул. Мишуги, 10",Нежитлові приміщення,142.3,35910.0,4866660.0,69.5,32490.0,2258055.0,69.5-142.3 кв м.,2.26-4.87 млн. грн.,,"50.39699479999999, 30.63641399999999"
7,161,noflat,206,209,,"вул. Б. Гмирі, 5-а",Дарницький р-н,,20%,https://kmb.ua/objects/285-vul-borisa-gmiri-5-a/," вул. Б. Гмирі, 5-а",Нежитлове приміщення,776.0,23000.0,17848000.0,776.0,23000.0,17848000.0,776-776 кв м.,17.85-17.85 млн. грн.,,"50.39431500000001, 30.6292317"
8,162,noflat,207,210,,"провсп. Григоренка, 20 ",Дарницький р-н,,20%,https://kmb.ua/objects/318-prosp-petra-grigorenka-20/," провсп. Григоренка, 20 ",Творчі майстерні,107.0,18000.0,1922400.0,107.0,18000.0,1922400.0,107-107 кв м.,1.92-1.92 млн. грн.,,"50.3924417, 30.629557"
9,163,noflat,208,211,,"вул. Бориса Гмирі, 9",Дарницький р-н,,20%,https://kmb.ua/objects/296-vul-borisa-gmiri-9/," вул. Бориса Гмирі, 9",Нежитлове приміщення,93.7,25000.0,2342500.0,93.4,25000.0,2335000.0,93.4-93.7 кв м.,2.34-2.34 млн. грн.,,"50.3828157, 30.4441702"
